X1,X2,X3,X4
94.73,71.85,70.16,89.72
538.43,66.91,65.20,80.39
31.19,67.95,70.87,75.53
35.09,25.14,80.54,107.65
167.54,62.14,77.15,38.69
46.68,51.42,60.25,99.96
44.05,76.20,71.53,41.67
68.15,37.59,76.15,56.81
94.17,66.99,72.91,113.53
257.63,39.26,69.23,59.10
91.54,70.57,65.24,58.03
47.84,25.79,57.65,81.15
40.49,41.12,71.07,105.28
37.16,73.13,65.42,106.89
48.54,37.86,64.26,53.21
125.22,59.02,52.30,51.08
20.01,32.06,68.46,63.05
321.77,29.64,82.10,52.59
355.39,61.85,67.28,82.69
76.32,24.99,72.82,83.02
45.63,41.17,73.02,100.27
94.08,40.82,52.35,87.56
24.02,26.83,68.92,72.82
45.37,77.33,56.36,48.39
97.19,65.03,77.34,56.34
41.65,34.95,74.48,95.72
75.36,42.59,77.67,98.31
34.52,43.96,79.07,91.87
62.96,37.86,74.04,53.05
279.63,59.10,67.38,111.77
155.43,43.86,60.39,63.60
95.92,62.98,61.97,99.47
72.44,65.77,62.53,107.47
28.09,36.38,65.89,106.32
115.67,54.32,69.43,47.61
128.05,74.21,68.77,91.52
463.58,62.77,75.79,97.13
496.43,30.49,63.11,80.62
51.10,61.89,52.99,108.69
59.12,34.22,70.71,61.58
170.34,79.07,72.03,109.07
38.21,54.84,67.73,45.91
48.28,63.76,58.95,96.71
38.46,74.77,70.29,56.90
174.19,54.64,56.73,107.76
53.51,32.52,64.07,61.39
68.76,79.36,72.16,52.69
39.56,41.56,60.72,63.08
37.21,30.23,78.49,104.32
191.56,44.26,73.74,45.21
30.99,46.48,57.59,97.50
208.54,79.14,64.11,61.64
20.08,32.46,70.39,91.33
255.09,71.43,79.64,52.19
304.71,54.38,64.68,99.99
118.66,38.43,72.97,50.80
45.10,44.28,53.29,103.85
132.17,60.95,69.71,60.56
66.49,49.42,57.58,80.07
90.28,36.82,55.38,56.92
70.98,59.12,61.00,44.72
62.87,31.57,72.80,89.05
147.60,49.59,57.78,53.47
222.68,59.37,74.13,64.36
139.39,29.21,58.83,104.95
101.61,55.16,66.60,102.51
113.98,66.95,68.48,36.96
362.81,78.70,79.00,64.39
40.60,32.43,75.35,48.17
40.45,68.28,72.82,54.87
20.76,72.11,58.94,96.77
185.48,72.69,71.54,97.47
65.35,41.06,61.53,64.10
148.14,73.05,60.12,94.08
279.48,38.81,81.59,91.83
38.68,31.92,66.55,104.87
145.07,36.25,74.10,56.66
197.12,69.20,77.22,42.78
